return_id,order_id,return_date,returned_quantity,return_reason,refund_amount,responsibility,is_resalable
RT0001036,O00012815,2026-07-06,3,物流延迟,2490.69,物流,是
RT0001037,O00012840,2025-12-13,2,质量问题,3472.76,商品/运营,是
RT0001038,O00012851,2025-12-19,1,无理由退货,616.01,商品/运营,否
RT0001039,O00012856,2026-01-02,2,无理由退货,368.2,商品/运营,是
RT0001040,O00012860,2026-01-13,1,物流延迟,264.18,物流,是
RT0001041,O00012865,2026-03-19,1,尺寸/适配问题,420.44,商品/运营,是
RT0001042,O00012869,2025-09-24,3,物流延迟,3252.47,物流,否
RT0001043,O00012880,2026-06-26,3,无理由退货,1674.34,商品/运营,否
RT0001044,O00012884,2025-12-20,1,商品破损,629.47,物流,否
RT0001045,O00012886,2026-08-04,5,物流延迟,591.88,物流,是
RT0001046,O00012892,2026-03-28,2,质量问题,1703.32,商品/运营,否
RT0001047,O00012894,2025-12-21,1,商品破损,708.87,物流,是
RT0001048,O00012934,2025-10-10,2,无理由退货,2666.91,商品/运营,是
RT0001049,O00012935,2025-12-20,3,物流延迟,4213.68,物流,是
RT0001050,O00012943,2026-03-25,1,物流延迟,631.83,物流,否
RT0001051,O00012954,2026-05-09,2,物流延迟,336.36,物流,否
RT0001052,O00012969,2025-08-31,1,商品破损,502.49,物流,否
RT0001053,O00012977,2025-11-25,3,质量问题,713.61,商品/运营,是
RT0001054,O00012990,2026-03-21,1,物流延迟,1922.59,物流,否
RT0001055,O00013004,2025-08-20,1,无理由退货,1538.07,商品/运营,是
RT0001056,O00013011,2025-09-27,2,质量问题,2631.04,商品/运营,否
RT0001057,O00013014,2025-12-22,3,描述不符,6322.92,商品/运营,是
RT0001058,O00013016,2026-03-09,1,商品破损,768.5,物流,否
RT0001059,O00013020,2025-12-08,4,质量问题,8242.46,商品/运营,否
RT0001060,O00013043,2026-02-20,1,物流延迟,520.69,物流,否
RT0001061,O00013058,2026-03-23,5,无理由退货,4479.98,商品/运营,否
RT0001062,O00013066,2026-06-25,1,物流延迟,2019.19,物流,是
RT0001063,O00013088,2026-05-09,1,商品破损,646.88,物流,否
RT0001064,O00013112,2025-10-21,2,无理由退货,539.17,商品/运营,否
RT0001065,O00013113,2025-09-26,4,商品破损,5123.52,物流,是
RT0001066,O00013117,2025-12-07,1,无理由退货,1042.07,商品/运营,是
RT0001067,O00013120,2026-04-27,1,物流延迟,1169.34,物流,是
RT0001068,O00013121,2025-08-31,1,描述不符,526.55,商品/运营,否
RT0001069,O00013138,2026-05-06,2,质量问题,1680.16,商品/运营,是
RT0001070,O00013162,2026-04-20,3,无理由退货,538.75,商品/运营,是
RT0001071,O00013177,2026-01-30,1,无理由退货,1512.85,商品/运营,是
RT0001072,O00013202,2026-03-30,1,质量问题,733.53,商品/运营,是
RT0001073,O00013208,2025-11-26,2,尺寸/适配问题,1416.37,商品/运营,是
RT0001074,O00013210,2026-03-12,2,质量问题,1457.55,商品/运营,是
RT0001075,O00013213,2026-04-10,2,无理由退货,1368.56,商品/运营,否
RT0001076,O00013217,2025-11-08,1,物流延迟,2377.09,物流,否
RT0001077,O00013253,2025-10-28,3,质量问题,505.62,商品/运营,是
RT0001078,O00013264,2025-10-15,3,描述不符,1407.57,商品/运营,是
RT0001079,O00013273,2026-01-19,1,无理由退货,143.47,商品/运营,是
RT0001080,O00013274,2026-07-03,6,物流延迟,5191.13,物流,是
RT0001081,O00013284,2026-05-06,1,质量问题,2184.39,商品/运营,否
RT0001082,O00013285,2025-12-03,2,物流延迟,1489.62,物流,是
RT0001083,O00013289,2025-12-18,1,物流延迟,1558.13,物流,否
RT0001084,O00013294,2025-11-20,1,物流延迟,453.43,物流,是
RT0001085,O00013328,2025-10-08,1,质量问题,226.3,商品/运营,是
RT0001086,O00013343,2026-04-26,1,无理由退货,2395.93,商品/运营,否
RT0001087,O00013344,2025-11-27,2,商品破损,1982.0,物流,否
RT0001088,O00013356,2026-06-24,1,物流延迟,1678.03,物流,是
RT0001089,O00013360,2025-12-30,1,物流延迟,251.48,物流,是
RT0001090,O00013381,2026-01-17,2,物流延迟,3901.94,物流,是
RT0001091,O00013392,2026-05-18,2,质量问题,1627.95,商品/运营,是
RT0001092,O00013400,2025-11-11,2,物流延迟,2539.22,物流,是
RT0001093,O00013404,2026-04-28,1,商品破损,874.53,物流,否
RT0001094,O00013405,2026-03-14,4,描述不符,10132.61,商品/运营,否
RT0001095,O00013406,2025-09-29,3,商品破损,8225.3,物流,是
RT0001096,O00013408,2026-03-12,1,物流延迟,1031.7,物流,是
RT0001097,O00013414,2025-08-22,4,物流延迟,2687.98,物流,否
RT0001098,O00013425,2026-02-22,1,尺寸/适配问题,999.32,商品/运营,是
RT0001099,O00013432,2025-11-22,1,尺寸/适配问题,587.32,商品/运营,是
RT0001100,O00013436,2025-11-10,6,物流延迟,4985.55,物流,否
RT0001101,O00013466,2025-09-22,2,质量问题,2952.25,商品/运营,是
RT0001102,O00013473,2026-05-16,1,无理由退货,587.32,商品/运营,是
RT0001103,O00013477,2026-04-22,1,物流延迟,903.11,物流,是
RT0001104,O00013488,2026-05-28,1,质量问题,1469.76,商品/运营,是
RT0001105,O00013492,2026-03-22,3,描述不符,767.5,商品/运营,是
RT0001106,O00013501,2026-06-23,1,无理由退货,1062.3,商品/运营,是
RT0001107,O00013505,2026-05-04,1,物流延迟,621.87,物流,否
RT0001108,O00013536,2025-10-17,2,物流延迟,1266.18,物流,是
RT0001109,O00013550,2025-11-10,1,质量问题,2129.42,商品/运营,否
RT0001110,O00013572,2025-12-11,1,尺寸/适配问题,297.59,商品/运营,否
RT0001111,O00013588,2026-03-02,2,物流延迟,3563.28,物流,是
RT0001112,O00013592,2025-11-26,1,物流延迟,1722.79,物流,否
RT0001113,O00013593,2026-04-17,2,无理由退货,376.63,商品/运营,是
RT0001114,O00013601,2025-10-16,3,质量问题,401.14,商品/运营,是
RT0001115,O00013603,2026-07-11,2,质量问题,3581.52,商品/运营,否
RT0001116,O00013633,2025-09-10,2,物流延迟,5136.22,物流,否
RT0001117,O00013636,2026-03-29,1,物流延迟,1046.83,物流,否
RT0001118,O00013643,2026-06-14,2,描述不符,2025.62,商品/运营,是
RT0001119,O00013648,2026-06-17,2,质量问题,3030.32,商品/运营,否
RT0001120,O00013650,2026-02-23,1,质量问题,886.32,商品/运营,是
RT0001121,O00013653,2025-10-31,2,无理由退货,2666.24,商品/运营,是
RT0001122,O00013666,2026-04-19,1,物流延迟,2377.09,物流,是
RT0001123,O00013673,2026-04-04,2,物流延迟,3905.84,物流,否
RT0001124,O00013679,2025-11-19,3,无理由退货,2501.88,商品/运营,否
RT0001125,O00013686,2025-12-26,6,质量问题,5702.39,商品/运营,否
RT0001126,O00013687,2025-09-03,6,尺寸/适配问题,4495.76,商品/运营,是
RT0001127,O00013695,2026-06-17,2,质量问题,2474.22,商品/运营,是
RT0001128,O00013730,2025-09-24,4,描述不符,9536.58,商品/运营,是
RT0001129,O00013746,2026-02-27,3,物流延迟,5757.03,物流,是
RT0001130,O00013762,2026-04-08,1,商品破损,889.81,物流,是
RT0001131,O00013778,2025-12-20,3,商品破损,2248.07,物流,是
RT0001132,O00013779,2026-01-18,1,描述不符,1114.76,商品/运营,是
RT0001133,O00013781,2026-08-11,2,物流延迟,1848.61,物流,是
RT0001134,O00013812,2025-08-31,2,商品破损,1508.06,物流,否
RT0001135,O00013814,2026-07-11,1,描述不符,525.78,商品/运营,是
RT0001136,O00013816,2025-11-18,1,质量问题,1621.66,商品/运营,是
RT0001137,O00013830,2026-03-09,3,无理由退货,3363.32,商品/运营,否
RT0001138,O00013859,2025-12-31,2,物流延迟,1940.95,物流,是
RT0001139,O00013912,2026-01-12,1,商品破损,609.83,物流,否
RT0001140,O00013931,2025-09-25,2,无理由退货,1095.14,商品/运营,否
RT0001141,O00013936,2026-08-01,1,商品破损,2075.17,物流,是
RT0001142,O00013962,2025-10-08,2,物流延迟,627.06,物流,是
RT0001143,O00013969,2026-06-11,3,物流延迟,892.77,物流,否
RT0001144,O00013980,2025-11-13,1,无理由退货,714.85,商品/运营,是
RT0001145,O00013983,2025-12-24,1,物流延迟,1906.41,物流,否
RT0001146,O00013999,2026-03-13,1,物流延迟,497.3,物流,是
RT0001147,O00014020,2026-03-07,1,尺寸/适配问题,1292.2,商品/运营,是
RT0001148,O00014030,2025-11-15,1,物流延迟,1879.28,物流,否
RT0001149,O00014031,2026-05-10,2,物流延迟,757.52,物流,否
RT0001150,O00014086,2026-04-15,2,无理由退货,4258.84,商品/运营,否
RT0001151,O00014102,2026-02-08,1,无理由退货,463.93,商品/运营,是
RT0001152,O00014105,2026-04-15,1,物流延迟,1577.56,物流,否
RT0001153,O00014114,2026-06-01,1,物流延迟,851.44,物流,是
RT0001154,O00014118,2026-02-25,4,尺寸/适配问题,3335.84,商品/运营,是
RT0001155,O00014120,2025-11-29,1,尺寸/适配问题,547.82,商品/运营,是
RT0001156,O00014134,2025-12-25,2,尺寸/适配问题,778.06,商品/运营,是
RT0001157,O00014157,2026-06-19,3,无理由退货,5101.11,商品/运营,否
RT0001158,O00014185,2025-10-01,2,物流延迟,2123.42,物流,是
RT0001159,O00014187,2026-04-29,5,描述不符,2990.59,商品/运营,是
RT0001160,O00014189,2026-01-11,1,描述不符,1775.24,商品/运营,是
RT0001161,O00014214,2025-09-16,1,尺寸/适配问题,1035.18,商品/运营,否
RT0001162,O00014226,2025-08-22,1,物流延迟,850.1,物流,是
RT0001163,O00014232,2025-10-23,1,尺寸/适配问题,594.71,商品/运营,是
RT0001164,O00014239,2026-01-29,2,物流延迟,458.25,物流,否
RT0001165,O00014243,2025-12-23,4,质量问题,4554.04,商品/运营,否
RT0001166,O00014247,2026-07-04,1,无理由退货,268.08,商品/运营,是
RT0001167,O00014277,2025-08-11,3,尺寸/适配问题,316.57,商品/运营,是
RT0001168,O00014310,2026-02-08,1,质量问题,976.33,商品/运营,是
RT0001169,O00014316,2025-11-08,2,质量问题,1739.87,商品/运营,是
RT0001170,O00014317,2026-03-25,1,质量问题,518.13,商品/运营,是
RT0001171,O00014318,2026-07-08,1,无理由退货,1510.82,商品/运营,是
RT0001172,O00014321,2026-05-31,2,质量问题,2494.26,商品/运营,否
RT0001173,O00014340,2025-09-01,1,尺寸/适配问题,660.49,商品/运营,是
RT0001174,O00014358,2026-02-14,1,尺寸/适配问题,432.24,商品/运营,否
RT0001175,O00014366,2026-07-13,2,商品破损,698.78,物流,否
RT0001176,O00014406,2026-08-01,3,质量问题,1572.32,商品/运营,否
RT0001177,O00014418,2025-09-30,1,无理由退货,1179.0,商品/运营,是
RT0001178,O00014453,2026-06-23,1,物流延迟,883.44,物流,是
RT0001179,O00014469,2025-10-12,2,尺寸/适配问题,4259.91,商品/运营,否
RT0001180,O00014470,2026-07-15,5,描述不符,5308.55,商品/运营,是
RT0001181,O00014506,2026-06-13,1,描述不符,260.51,商品/运营,是
RT0001182,O00014513,2025-09-27,1,无理由退货,1078.64,商品/运营,是
RT0001183,O00014516,2026-04-26,3,物流延迟,8456.22,物流,否
RT0001184,O00014574,2026-07-04,2,无理由退货,2678.81,商品/运营,是
RT0001185,O00014580,2025-12-30,2,物流延迟,2939.52,物流,是
RT0001186,O00014608,2025-12-29,1,无理由退货,533.53,商品/运营,是
RT0001187,O00014610,2025-08-31,2,尺寸/适配问题,1044.76,商品/运营,是
RT0001188,O00014625,2026-04-14,1,无理由退货,832.77,商品/运营,否
RT0001189,O00014634,2026-06-03,3,质量问题,1428.82,商品/运营,是
RT0001190,O00014635,2025-10-10,1,尺寸/适配问题,93.82,商品/运营,否
RT0001191,O00014643,2026-06-30,1,质量问题,675.64,商品/运营,否
RT0001192,O00014714,2025-09-27,1,物流延迟,1605.17,物流,是
RT0001193,O00014718,2025-09-03,2,描述不符,1425.6,商品/运营,是
RT0001194,O00014720,2026-02-08,1,物流延迟,1049.63,物流,是
RT0001195,O00014730,2026-06-16,1,无理由退货,2460.89,商品/运营,否
RT0001196,O00014733,2025-12-28,1,描述不符,2187.55,商品/运营,是
RT0001197,O00014734,2025-12-03,2,物流延迟,1940.06,物流,否
RT0001198,O00014748,2026-06-12,2,无理由退货,595.71,商品/运营,是
RT0001199,O00014765,2026-04-04,1,物流延迟,1116.59,物流,是
RT0001200,O00014773,2025-11-07,1,物流延迟,259.14,物流,是
RT0001201,O00014775,2025-11-03,1,无理由退货,133.45,商品/运营,是
RT0001202,O00014785,2025-08-21,1,商品破损,684.98,物流,是
RT0001203,O00014805,2026-04-27,3,物流延迟,1988.93,物流,是
RT0001204,O00014809,2026-02-21,2,尺寸/适配问题,5136.22,商品/运营,否
RT0001205,O00014811,2026-05-31,2,物流延迟,266.35,物流,是
RT0001206,O00014821,2025-12-23,1,描述不符,1333.12,商品/运营,否
RT0001207,O00014826,2026-05-20,3,物流延迟,1382.62,物流,否
RT0001208,O00014835,2026-07-14,1,质量问题,260.35,商品/运营,是
RT0001209,O00014847,2025-09-20,1,无理由退货,712.93,商品/运营,否
RT0001210,O00014857,2025-12-10,1,无理由退货,1362.62,商品/运营,否
RT0001211,O00014873,2025-11-18,1,描述不符,1036.5,商品/运营,是
RT0001212,O00014888,2025-11-28,1,商品破损,1135.56,物流,是
RT0001213,O00014894,2026-06-29,3,质量问题,1431.05,商品/运营,是
RT0001214,O00014911,2026-01-12,1,商品破损,163.38,物流,否
RT0001215,O00014943,2026-03-07,1,无理由退货,555.4,商品/运营,是
RT0001216,O00014963,2026-03-10,2,商品破损,2354.8,物流,是
RT0001217,O00014973,2025-12-21,3,质量问题,2883.42,商品/运营,是
RT0001218,O00014979,2025-12-23,1,物流延迟,1004.93,物流,是
RT0001219,O00014992,2025-10-10,2,物流延迟,1285.81,物流,是
RT0001220,O00015008,2026-07-12,1,物流延迟,694.54,物流,是
RT0001221,O00015011,2026-07-19,1,质量问题,141.58,商品/运营,否
RT0001222,O00015025,2025-12-25,1,物流延迟,466.05,物流,是
RT0001223,O00015029,2026-05-22,1,商品破损,586.3,物流,是
RT0001224,O00015057,2026-04-12,1,描述不符,906.02,商品/运营,否
RT0001225,O00015068,2026-02-10,6,描述不符,4736.55,商品/运营,是
RT0001226,O00015106,2025-12-26,1,尺寸/适配问题,1440.11,商品/运营,是
RT0001227,O00015111,2026-05-19,1,物流延迟,157.31,物流,是
RT0001228,O00015116,2026-04-15,1,尺寸/适配问题,1157.8,商品/运营,否
RT0001229,O00015120,2026-03-16,1,物流延迟,1030.66,物流,是
RT0001230,O00015127,2025-09-03,1,无理由退货,810.25,商品/运营,是
RT0001231,O00015130,2026-01-22,1,描述不符,1110.81,商品/运营,是
RT0001232,O00015131,2026-06-07,1,质量问题,367.78,商品/运营,是
RT0001233,O00015154,2025-09-29,2,尺寸/适配问题,334.13,商品/运营,是
RT0001234,O00015155,2026-03-13,2,物流延迟,4149.09,物流,否
RT0001235,O00015157,2026-06-30,1,物流延迟,522.38,物流,否
RT0001236,O00015158,2025-12-04,1,无理由退货,2254.44,商品/运营,是
RT0001237,O00015163,2026-04-14,1,尺寸/适配问题,1293.97,商品/运营,是
RT0001238,O00015166,2025-10-15,1,商品破损,497.3,物流,否
RT0001239,O00015206,2026-05-01,1,质量问题,581.25,商品/运营,否
RT0001240,O00015208,2025-10-09,2,物流延迟,3088.79,物流,否
RT0001241,O00015224,2025-12-23,1,描述不符,1000.42,商品/运营,是
RT0001242,O00015226,2026-04-01,1,质量问题,721.61,商品/运营,是
RT0001243,O00015245,2026-02-08,2,无理由退货,3617.61,商品/运营,否
RT0001244,O00015253,2025-12-21,6,质量问题,4891.0,商品/运营,是
RT0001245,O00015258,2025-11-25,1,尺寸/适配问题,1099.55,商品/运营,是
RT0001246,O00015267,2025-12-12,1,物流延迟,508.82,物流,是
RT0001247,O00015273,2026-01-16,3,物流延迟,1712.32,物流,是
RT0001248,O00015274,2026-04-23,1,商品破损,866.72,物流,否
RT0001249,O00015303,2026-05-29,8,无理由退货,4274.56,商品/运营,否
RT0001250,O00015332,2026-03-14,1,商品破损,908.56,物流,否
RT0001251,O00015334,2026-05-01,1,无理由退货,522.51,商品/运营,是
RT0001252,O00015340,2026-01-02,1,无理由退货,1738.17,商品/运营,是
RT0001253,O00015354,2026-06-26,3,描述不符,1251.65,商品/运营,是
RT0001254,O00015381,2026-03-28,1,质量问题,434.73,商品/运营,否
RT0001255,O00015386,2026-07-12,1,物流延迟,1469.76,物流,是
RT0001256,O00015403,2026-07-10,3,无理由退货,5961.29,商品/运营,否
RT0001257,O00015408,2025-09-25,1,物流延迟,129.44,物流,是
RT0001258,O00015416,2026-04-23,2,物流延迟,1760.65,物流,是
RT0001259,O00015417,2026-07-26,1,物流延迟,461.49,物流,是
RT0001260,O00015420,2026-05-13,1,物流延迟,1507.17,物流,是
RT0001261,O00015455,2026-06-01,2,物流延迟,2605.18,物流,是
RT0001262,O00015467,2025-09-09,1,物流延迟,534.12,物流,是
RT0001263,O00015469,2026-02-28,1,物流延迟,1462.65,物流,是
RT0001264,O00015497,2026-03-27,2,商品破损,925.31,物流,否
RT0001265,O00015498,2026-05-13,1,无理由退货,874.53,商品/运营,否
RT0001266,O00015503,2025-10-24,4,物流延迟,3828.27,物流,否
RT0001267,O00015526,2026-05-06,3,无理由退货,828.72,商品/运营,是
RT0001268,O00015529,2025-08-09,2,商品破损,4791.86,物流,是
RT0001269,O00015544,2025-11-19,2,物流延迟,1247.6,物流,否
RT0001270,O00015547,2026-03-09,1,商品破损,961.72,物流,是
RT0001271,O00015559,2026-05-08,1,无理由退货,1015.78,商品/运营,是
RT0001272,O00015569,2025-11-22,1,质量问题,1111.26,商品/运营,否
RT0001273,O00015573,2026-02-08,1,质量问题,667.9,商品/运营,否
RT0001274,O00015587,2026-06-25,3,物流延迟,714.89,物流,是
RT0001275,O00015597,2026-05-29,1,商品破损,728.64,物流,否
RT0001276,O00015626,2026-04-18,1,尺寸/适配问题,422.27,商品/运营,是
RT0001277,O00015643,2025-12-18,1,质量问题,1079.87,商品/运营,否
RT0001278,O00015663,2026-07-12,1,质量问题,1536.96,商品/运营,是
RT0001279,O00015672,2026-04-18,1,物流延迟,784.36,物流,否
RT0001280,O00015718,2026-01-05,2,描述不符,4302.11,商品/运营,否
RT0001281,O00015740,2026-04-29,2,商品破损,844.54,物流,是
RT0001282,O00015742,2025-12-05,1,商品破损,2819.05,物流,否
RT0001283,O00015776,2026-01-16,1,无理由退货,879.07,商品/运营,是
RT0001284,O00015788,2025-12-22,1,物流延迟,555.4,物流,是
RT0001285,O00015789,2025-08-14,1,物流延迟,1049.63,物流,否
RT0001286,O00015795,2026-03-21,1,尺寸/适配问题,2370.59,商品/运营,是
RT0001287,O00015799,2026-05-23,1,质量问题,1758.17,商品/运营,是
RT0001288,O00015804,2025-12-05,3,质量问题,5570.18,商品/运营,是
RT0001289,O00015853,2026-06-26,1,物流延迟,596.81,物流,是
RT0001290,O00015857,2025-12-21,2,物流延迟,536.17,物流,是
RT0001291,O00015874,2026-04-30,2,物流延迟,2353.22,物流,是
RT0001292,O00015875,2026-02-26,1,物流延迟,1066.5,物流,否
RT0001293,O00015889,2025-10-11,1,尺寸/适配问题,825.95,商品/运营,是
RT0001294,O00015899,2025-12-16,1,尺寸/适配问题,626.15,商品/运营,是
RT0001295,O00015902,2025-11-28,2,物流延迟,2152.75,物流,是
RT0001296,O00015929,2026-07-11,1,描述不符,1492.07,商品/运营,是
RT0001297,O00015930,2026-02-08,2,商品破损,5202.68,物流,是
RT0001298,O00015940,2026-06-20,4,商品破损,3201.34,物流,是
RT0001299,O00015962,2026-05-14,1,物流延迟,202.91,物流,是
RT0001300,O00015971,2025-12-11,1,商品破损,445.6,物流,是
RT0001301,O00015974,2025-10-17,1,质量问题,1106.28,商品/运营,是
RT0001302,O00015999,2026-01-20,1,质量问题,655.99,商品/运营,是
RT0001303,O00016035,2025-09-17,1,物流延迟,1242.75,物流,是
RT0001304,O00016038,2026-07-07,3,描述不符,2307.17,商品/运营,是
RT0001305,O00016049,2026-04-16,1,物流延迟,592.99,物流,是
RT0001306,O00016056,2025-10-28,1,无理由退货,1089.29,商品/运营,否
RT0001307,O00016089,2026-07-04,3,物流延迟,1094.06,物流,是
RT0001308,O00016091,2026-07-26,1,描述不符,1153.08,商品/运营,否
RT0001309,O00016101,2025-12-25,1,描述不符,477.02,商品/运营,是
RT0001310,O00016114,2025-10-18,1,描述不符,1385.67,商品/运营,是
RT0001311,O00016119,2025-11-14,3,商品破损,4372.03,物流,否
RT0001312,O00016120,2026-05-09,1,物流延迟,1591.08,物流,否
RT0001313,O00016146,2025-12-17,1,尺寸/适配问题,277.99,商品/运营,是
RT0001314,O00016171,2026-04-29,4,描述不符,769.89,商品/运营,是
RT0001315,O00016172,2026-03-16,3,物流延迟,2186.24,物流,是
RT0001316,O00016177,2026-05-31,1,描述不符,1305.89,商品/运营,是
RT0001317,O00016178,2026-01-22,3,商品破损,6275.04,物流,否
RT0001318,O00016179,2026-01-12,1,质量问题,1123.96,商品/运营,否
RT0001319,O00016186,2026-07-25,1,无理由退货,1539.63,商品/运营,是
RT0001320,O00016201,2025-12-30,2,商品破损,992.52,物流,否
RT0001321,O00016208,2026-06-05,4,无理由退货,1968.81,商品/运营,是
RT0001322,O00016216,2025-12-31,2,商品破损,3119.42,物流,是
RT0001323,O00016217,2025-10-26,1,物流延迟,310.21,物流,否
RT0001324,O00016229,2026-02-05,5,物流延迟,4554.04,物流,否
RT0001325,O00016253,2026-04-25,4,商品破损,1104.85,物流,是
RT0001326,O00016254,2026-07-09,1,物流延迟,709.79,物流,是
RT0001327,O00016263,2026-05-07,2,商品破损,591.75,物流,是
RT0001328,O00016281,2025-08-27,5,物流延迟,3278.4,物流,是
RT0001329,O00016284,2026-03-18,2,无理由退货,1627.21,商品/运营,是
RT0001330,O00016287,2025-12-16,2,无理由退货,3208.68,商品/运营,是
RT0001331,O00016288,2025-12-02,1,无理由退货,1202.48,商品/运营,否
RT0001332,O00016308,2026-02-20,2,物流延迟,923.88,物流,是
RT0001333,O00016311,2025-12-26,1,物流延迟,1066.31,物流,是
RT0001334,O00016337,2026-03-01,3,质量问题,2633.88,商品/运营,是
RT0001335,O00016364,2025-10-22,1,无理由退货,884.78,商品/运营,否
RT0001336,O00016368,2026-08-07,1,物流延迟,101.55,物流,否
RT0001337,O00016380,2026-06-02,1,物流延迟,518.1,物流,是
RT0001338,O00016386,2026-02-10,1,尺寸/适配问题,622.95,商品/运营,是
RT0001339,O00016396,2025-10-01,2,质量问题,1710.72,商品/运营,是
RT0001340,O00016409,2025-09-29,2,物流延迟,2132.99,物流,是
RT0001341,O00016424,2026-07-21,1,质量问题,877.51,商品/运营,是
RT0001342,O00016429,2026-04-19,1,物流延迟,1621.66,物流,否
RT0001343,O00016445,2025-12-25,2,尺寸/适配问题,2749.57,商品/运营,否
RT0001344,O00016456,2026-01-15,1,物流延迟,698.32,物流,是
RT0001345,O00016465,2025-11-26,1,物流延迟,676.3,物流,是
RT0001346,O00016469,2026-04-11,3,商品破损,5733.52,物流,否
RT0001347,O00016480,2025-11-04,1,尺寸/适配问题,1823.06,商品/运营,否
RT0001348,O00016485,2026-03-21,1,描述不符,542.9,商品/运营,是
RT0001349,O00016494,2026-06-28,2,物流延迟,2840.14,物流,否
RT0001350,O00016501,2026-05-02,1,质量问题,221.38,商品/运营,是
RT0001351,O00016504,2026-05-08,2,物流延迟,983.52,物流,否
RT0001352,O00016534,2026-05-22,6,商品破损,4083.6,物流,否
RT0001353,O00016543,2026-03-01,1,物流延迟,764.63,物流,是
RT0001354,O00016548,2025-10-03,1,质量问题,194.01,商品/运营,是
RT0001355,O00016557,2025-10-05,1,商品破损,1453.47,物流,否
RT0001356,O00016602,2026-04-17,3,物流延迟,8366.79,物流,是
RT0001357,O00016616,2026-05-05,1,尺寸/适配问题,911.84,商品/运营,是
RT0001358,O00016621,2025-12-24,1,质量问题,272.19,商品/运营,是
RT0001359,O00016630,2025-12-20,2,尺寸/适配问题,1051.57,商品/运营,是
RT0001360,O00016670,2025-10-16,1,描述不符,485.25,商品/运营,否
RT0001361,O00016672,2026-01-18,1,质量问题,2551.34,商品/运营,是
RT0001362,O00016709,2025-08-19,1,尺寸/适配问题,1162.86,商品/运营,否
RT0001363,O00016726,2026-07-09,1,商品破损,1467.19,物流,是
RT0001364,O00016733,2025-12-28,2,物流延迟,3145.66,物流,是
RT0001365,O00016738,2026-03-08,3,物流延迟,3182.28,物流,是
RT0001366,O00016739,2026-03-27,1,尺寸/适配问题,2028.71,商品/运营,是
RT0001367,O00016751,2026-06-05,1,物流延迟,566.79,物流,是
RT0001368,O00016760,2026-06-20,1,物流延迟,1769.48,物流,否
RT0001369,O00016765,2026-04-22,1,无理由退货,970.03,商品/运营,否
RT0001370,O00016815,2026-04-11,1,商品破损,1569.61,物流,是
RT0001371,O00016816,2025-12-05,1,物流延迟,614.01,物流,否
RT0001372,O00016822,2026-02-16,1,描述不符,2137.97,商品/运营,否
RT0001373,O00016840,2026-02-03,1,无理由退货,680.6,商品/运营,是
RT0001374,O00016866,2026-02-21,2,无理由退货,1568.72,商品/运营,否
RT0001375,O00016876,2026-07-11,3,尺寸/适配问题,501.19,商品/运营,是
RT0001376,O00016892,2026-05-22,5,无理由退货,5470.43,商品/运营,是
RT0001377,O00016893,2026-05-28,4,物流延迟,2252.72,物流,是
RT0001378,O00016925,2026-04-30,3,物流延迟,3282.26,物流,是
RT0001379,O00016942,2026-05-19,2,商品破损,3012.35,物流,否
RT0001380,O00016948,2025-12-02,1,质量问题,1247.94,商品/运营,否
RT0001381,O00016967,2026-05-14,3,物流延迟,1677.14,物流,否
RT0001382,O00016972,2025-10-28,1,描述不符,2009.64,商品/运营,是
RT0001383,O00016983,2026-07-10,1,质量问题,1277.96,商品/运营,否
RT0001384,O00016986,2026-04-25,1,质量问题,295.19,商品/运营,是
RT0001385,O00016989,2025-11-09,3,物流延迟,4029.21,物流,是
RT0001386,O00016998,2026-04-21,3,无理由退货,6342.16,商品/运营,是
RT0001387,O00017024,2026-06-16,4,质量问题,2209.92,商品/运营,是
RT0001388,O00017033,2026-02-26,2,物流延迟,1251.17,物流,是
RT0001389,O00017040,2026-04-22,4,质量问题,1042.58,商品/运营,是
RT0001390,O00017051,2026-05-07,2,质量问题,535.6,商品/运营,是
RT0001391,O00017057,2025-10-05,2,尺寸/适配问题,2198.17,商品/运营,是
RT0001392,O00017066,2025-11-20,1,商品破损,110.38,物流,否
RT0001393,O00017070,2025-11-23,2,物流延迟,945.99,物流,否
RT0001394,O00017074,2026-03-05,2,描述不符,2147.47,商品/运营,是
RT0001395,O00017078,2026-05-29,2,质量问题,1961.26,商品/运营,是
RT0001396,O00017104,2026-03-21,2,描述不符,2129.18,商品/运营,是
RT0001397,O00017130,2026-03-31,1,描述不符,645.83,商品/运营,否
RT0001398,O00017134,2025-10-06,1,物流延迟,860.89,物流,是
RT0001399,O00017148,2026-03-19,2,质量问题,276.79,商品/运营,是
RT0001400,O00017159,2026-04-22,2,物流延迟,1414.04,物流,是
RT0001401,O00017170,2026-04-15,2,物流延迟,2406.51,物流,否
RT0001402,O00017210,2026-02-28,3,描述不符,6007.69,商品/运营,否
RT0001403,O00017218,2026-04-28,1,物流延迟,225.78,物流,是
RT0001404,O00017222,2026-05-28,1,商品破损,1524.12,物流,是
RT0001405,O00017228,2026-01-25,2,物流延迟,895.21,物流,否
RT0001406,O00017230,2025-09-24,3,无理由退货,722.06,商品/运营,是
RT0001407,O00017232,2026-04-02,4,物流延迟,3194.0,物流,是
RT0001408,O00017258,2025-11-26,2,质量问题,3155.11,商品/运营,否
RT0001409,O00017280,2026-03-01,5,尺寸/适配问题,6624.3,商品/运营,否
