campaign_id,month,region,channel,campaign_theme,spend,impressions,clicks,leads,attributed_orders,target_roi
MKT00312,2026-06,华南,电商,清仓转化,201985.8,2103984,127961,33651,6834,4.0
MKT00313,2026-06,华南,门店,会员增长,165750.58,2020535,122569,26203,6569,3.5
MKT00314,2026-06,华南,经销商,会员增长,203165.54,2417464,74484,10312,3302,2.5
MKT00315,2026-06,华南,企业采购,新品首发,193128.4,2009150,80103,16118,4224,3.5
MKT00316,2026-06,华中,直播,会员增长,210662.4,2009007,52436,6926,2265,3.5
MKT00317,2026-06,华中,电商,内容种草,184879.11,1968731,82847,22001,4038,3.0
MKT00318,2026-06,华中,门店,会员增长,206857.9,1794614,55864,12663,2741,3.0
MKT00319,2026-06,华中,经销商,会员增长,195896.25,2209783,73682,16275,3428,2.5
MKT00320,2026-06,华中,企业采购,清仓转化,75941.33,870399,22780,6347,2541,3.5
MKT00321,2026-06,西南,直播,节日大促,124902.92,1139622,39578,9680,3514,3.0
MKT00322,2026-06,西南,电商,内容种草,89175.42,1022548,42718,9941,2378,2.5
MKT00323,2026-06,西南,门店,清仓转化,108743.91,1066807,41670,7538,2388,2.5
MKT00324,2026-06,西南,经销商,新品首发,182885.6,1885462,102929,20130,6693,2.5
MKT00325,2026-06,西南,企业采购,清仓转化,176163.59,2029614,53862,11462,3491,2.5
MKT00326,2026-06,东北,直播,内容种草,188635.5,2441707,86118,18035,4536,3.5
MKT00327,2026-06,东北,电商,清仓转化,217322.19,2115571,130921,30162,8506,3.5
MKT00328,2026-06,东北,门店,会员增长,215486.64,2182040,87249,13084,4005,4.0
MKT00329,2026-06,东北,经销商,内容种草,139200.68,1733276,84772,13072,4807,2.5
MKT00330,2026-06,东北,企业采购,清仓转化,160839.37,1369682,77073,20497,4870,3.5
MKT00331,2026-07,华东,直播,清仓转化,274743.76,2716515,106859,15552,1628,3.0
MKT00332,2026-07,华东,电商,节日大促,79996.4,889684,38432,9594,2709,3.5
MKT00333,2026-07,华东,门店,清仓转化,166655.23,1601899,93758,19572,4110,2.5
MKT00334,2026-07,华东,经销商,会员增长,160737.4,1489550,37248,5711,1300,3.5
MKT00335,2026-07,华东,企业采购,清仓转化,80715.8,1020007,64132,11090,2140,3.0
MKT00336,2026-07,华北,直播,节日大促,100750.49,1144027,46692,12464,4851,4.0
MKT00337,2026-07,华北,电商,节日大促,89689.98,1093026,39201,5715,2252,3.0
MKT00338,2026-07,华北,门店,会员增长,137199.55,1450360,66590,13573,3076,2.5
MKT00339,2026-07,华北,经销商,清仓转化,137422.15,1395066,41310,9759,2345,4.0
MKT00340,2026-07,华北,企业采购,清仓转化,143116.48,1292350,79211,13157,4710,3.0
MKT00341,2026-07,华南,直播,内容种草,197575.37,2638085,142365,28579,8407,2.5
MKT00342,2026-07,华南,电商,新品首发,201394.11,1880239,79858,12959,4476,2.5
MKT00343,2026-07,华南,门店,清仓转化,165592.11,1788725,65107,11232,2357,3.0
MKT00344,2026-07,华南,经销商,会员增长,173731.7,2316520,143414,32451,8767,4.0
MKT00345,2026-07,华南,企业采购,会员增长,115349.47,1062658,48923,8857,2157,3.0
MKT00346,2026-07,华中,直播,新品首发,173198.04,1883584,48060,8644,1707,3.0
MKT00347,2026-07,华中,电商,清仓转化,170217.7,1566603,51258,11924,2287,4.0
MKT00348,2026-07,华中,门店,新品首发,134862.57,1556488,56437,11332,3595,3.0
MKT00349,2026-07,华中,经销商,会员增长,103779.76,1218753,40547,5514,1145,3.0
MKT00350,2026-07,华中,企业采购,节日大促,70233.95,896442,38794,6763,1288,4.0
MKT00351,2026-07,西南,直播,节日大促,137066.02,1315021,84575,12217,3926,3.0
MKT00352,2026-07,西南,电商,会员增长,106352.49,1209365,71123,17982,4325,3.0
MKT00353,2026-07,西南,门店,节日大促,113792.1,991004,54081,13054,5224,2.5
MKT00354,2026-07,西南,经销商,会员增长,128036.24,1475794,89118,23305,8516,4.0
MKT00355,2026-07,西南,企业采购,节日大促,71236.3,720482,18181,3285,928,3.0
MKT00356,2026-07,东北,直播,会员增长,83396.6,960217,40086,5639,1503,4.0
MKT00357,2026-07,东北,电商,节日大促,176367.6,2277131,108203,15434,4876,2.5
MKT00358,2026-07,东北,门店,会员增长,66931.71,812925,20564,2983,760,2.5
MKT00359,2026-07,东北,经销商,内容种草,161673.99,1456092,60921,16067,5728,2.5
MKT00360,2026-07,东北,企业采购,会员增长,217587.3,2808421,117019,24299,8574,2.5
